"","restaurants","bars","cafe","college","casino","nightclub","pharmacy","theatre","university","antiques","art","bakery","tattoo","cinema","library","marketplace","railway_station","subway","hotels","volume"
"1466",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,"Normal"
"1467",194,3,95,0,0,0,34,0,0,2,1,8,0,0,4,28,2,1,378,"High"
"1468",97,15,91,15,0,0,39,0,89,0,0,9,0,0,0,0,0,0,0,"High"
"1469",132,62,100,0,0,1,10,0,1,0,0,0,0,0,0,35,4,0,188,"High"
"1470",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Normal"
"1471",9,4,28,25,0,0,5,1,0,0,0,1,0,0,0,0,1,0,101,"Normal"
"1472",17,0,9,0,0,0,6,0,0,0,0,2,0,0,0,0,6,0,0,"Normal"
"1473",135,1,73,0,0,0,28,0,0,1,2,7,0,0,1,28,1,2,240,"High"
"1474",59,9,47,0,0,0,10,0,67,15,0,5,0,0,0,0,4,0,105,"High"
"1475",92,3,35,0,0,0,0,0,0,1,14,1,0,0,0,1,1,14,22,"Normal"
"1476",12,0,6,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,28,"Normal"
"1477",15,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,33,"Normal"
"1478",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Normal"
"1479",178,16,163,0,0,0,38,0,0,0,17,8,0,0,0,0,39,17,582,"Very High"
"1480",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Normal"
"1481",356,84,246,0,0,1,32,0,30,0,5,11,0,1,7,0,7,5,228,"Very High"
"1482",92,3,48,22,0,0,22,0,0,0,0,5,1,2,1,3,8,0,50,"Normal"
"1483",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,"Normal"
"1484",25,3,40,0,0,0,2,0,10,0,1,0,0,0,0,3,1,1,0,"Normal"
"1485",33,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"Normal"
"1486",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,43,"Normal"
"1487",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Normal"
"1488",93,13,35,0,0,0,4,0,94,1,0,7,0,6,17,1,1,0,49,"High"
"1489",5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,"Normal"
"1490",191,3,88,0,0,0,29,0,0,2,1,14,0,0,3,28,1,1,382,"High"
"1491",15,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,33,"Normal"
"1492",131,2,115,15,0,0,15,34,811,0,2,1,0,0,94,0,1,2,212,"Very High"
"1493",340,20,237,52,1,1,25,55,921,0,43,6,0,0,62,0,3,43,399,"Massive"
"1494",18,5,22,0,0,15,0,1,0,0,1,0,0,0,0,0,3,1,0,"Normal"
"1495",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,139,"Normal"
"1496",1599,212,541,42,13,42,38,287,0,13,76,47,25,37,0,5,3,76,426,"Massive"
"1497",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,"Normal"
"1498",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,"Normal"
"1499",2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,"Normal"
"1500",2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,"Normal"
"1501",1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,102,"Normal"
"1502",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,"Normal"
"1503",65,8,70,0,0,1,1,77,1,0,1,6,0,0,0,0,151,1,84,"High"
"1504",5,0,10,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33,"Normal"
"1505",20,3,4,0,0,0,10,15,0,0,0,0,0,0,0,0,2,0,18,"Normal"
"1506",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,"Normal"
"1507",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"Normal"
"1508",71,0,17,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,29,"Normal"
"1509",1393,196,460,35,12,36,21,350,1,18,86,46,20,31,6,13,5,86,355,"Massive"
"1510",223,72,187,0,0,1,12,0,1,0,0,0,0,1,7,47,5,0,220,"High"
"1511",61,1,65,6,0,1,0,0,0,0,0,7,0,0,1,17,29,0,114,"High"
"1512",54,2,31,0,0,1,3,1,0,0,0,2,0,0,1,0,1,0,0,"Normal"
"1513",96,8,41,0,1,0,13,0,0,0,0,1,0,0,17,0,39,0,208,"High"
"1514",97,8,42,0,1,0,11,0,0,0,1,1,0,0,0,0,2,1,181,"High"
"1515",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"Normal"
"1516",3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,"Normal"
"1517",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,"Normal"
"1518",2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,33,"Normal"
"1519",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Normal"
"1520",141,13,159,15,0,0,17,24,564,0,3,0,1,0,38,0,66,3,192,"Very High"
"1521",349,21,226,54,0,0,16,40,850,0,0,1,0,0,37,0,2,0,369,"Very High"
"1522",73,14,14,0,0,0,5,0,1,0,0,1,0,0,0,0,2,0,211,"High"
"1523",60,1,15,6,0,1,8,0,0,0,0,7,0,0,1,0,1,0,236,"High"
"1524",1044,146,397,39,2,49,27,142,0,22,205,37,15,12,0,13,2,205,327,"Massive"
"1525",184,2,155,72,0,0,13,40,907,0,17,7,0,25,72,0,1,17,272,"Very High"
"1526",2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"Normal"
"1527",92,8,43,0,1,0,13,0,0,0,1,1,0,0,0,0,2,1,132,"Normal"
"1528",105,3,59,0,1,0,10,0,0,0,0,1,0,0,0,0,39,0,280,"High"
"1529",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,"Normal"
"1530",255,26,97,0,3,1,55,10,0,2,7,7,0,1,1,2,2,7,374,"Very High"
"1531",18,0,6,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,24,"Normal"
"1532",16,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,"Normal"
"1533",67,13,96,0,0,21,2,1,555,0,2,1,0,0,0,11,1,2,72,"Very High"
"1534",74,1,46,1,0,0,21,0,0,0,0,17,0,0,0,14,24,0,0,"Normal"
"1535",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2,0,18,"Normal"
